,0
1762,"The tale of Four Bird Brothers are folk legend that repeatedly appears in Lee Yeongdo's fantasy novel The Bird That Drinks Tears and its sequel The Bird That Drinks Blood.  In the fictional world of the series, according to the legend of Kitalzer Hunters there were once four bird brothers who each had taste for different kind of liquids. Sometimes in a form of story and sometimes in a form of riddle, the tale of this four brothers appears repeatedly throughout both The Bird That Drinks Tears and The Bird That Drinks Blood.  The tale is told in many different versions by many different characters, and are often used as many different symbolic figures that represents themes that run through two novels.

"
1763,"The LSU Tigers baseball program is a college baseball team that represents Louisiana State University in the Western Division of the Southeastern Conference in the National Collegiate Athletic Association. The team has had 25 head coaches since it started playing organized baseball in the 1893 season. The current coach is Jay Johnson, who was recently hired last November.Since its creation in 1947, three LSU coaches; Skip Bertman, Smoke Laval and Paul Mainieri have led the Tigers to the College World Series with Bertman and Mainieri winning six national championships. Seven coaches have won conference championships with LSU: Harry Rabenhorst, A. L. Swanson, Ray Didier, Jim Smith, Bertman, Laval and Mainieri have all won Southeastern Conference championships.Skip Bertman is the all-time leader in games coached (1,203) and total wins (870). Harry Rabenhorst is the all-time leader in seasons coached (27). E. B. Young has the highest winning percentage of any Tiger coach with a 1–0–0 record (1.000) in his one season at LSU. Moon Ducote has the lowest winning percentage (.308) in his one season at LSU.In 2006, Bertman was inducted into the National College Baseball Hall of Fame."
1764,"Castleblakeney, historically Gallagh (Irish: Gallach Uí Cheallaigh), is a village in County Galway, Ireland. It is at the crossroads of the R359 and R339 regional roads, 5km south of the town of Mountbellew."
1765,"The Building and Monumental Workers' Association of Scotland was a trade union representing stonemasons in Scotland.  While never a large union, it brought together all the unionised stonemasons in the country.
The union was founded in 1919, when the United Operative Masons' Association of Scotland merged with the United Operative Masons' and Granite Cutters' Union, the Associated Paviors' Federal Union, and the Scottish Amalgamated Society of Mosaic and Encaustic Tile Fixers, Marble Workers and Fireplace Builders.Membership of the union was 5,000 in 1924, and it was still 5,000 in 1942.  However, it had built up a healthy reserve fund of £18,000.  That year, it decided to merge into the Amalgamated Union of Building Trade Workers, which already represented stonemasons in England and Wales."
1766,"Checkmate (often shortened to mate) is any game position in chess and other chess-like games in which a player's king is in check (threatened with capture) and there is no possible escape. Checkmating the opponent wins the game.
In chess, the king is never actually captured—the player loses as soon as the player's king is checkmated. In formal games, it is usually considered good etiquette to resign an inevitably lost game before being checkmated.If a player is not in check but has no legal move, then it is stalemate, and the game immediately ends in a draw. A checkmating move is recorded in algebraic notation using the hash symbol ""#"", for example: 34.Qg3#. 

"
1767,"Giangiacomo Borghese (25 July 1889 – 28 September 1954) was an Italian politician who at the height of his career served as the 6th fascist governor of Rome (1939–1944).Giangiacomo Borghese was born in Lastra a Signa, Kingdom of Italy, the son of Prince Giuseppe Borghese, Duke of Poggio Nativo (1859-1942) and Marchioness Maria-Concetta Covoni Girolami (1865-1948), of whom the former belonged to the Roman nobility and the latter to the Florentine nobility. He graduated in engineering from the Sapienza University of Rome and later participated in the First World War as a lieutenant and later captain of the Engineers, receiving a medal for military valour. After the war, Borghese joined the Italian Nationalist Association. On 7 January 1922, he married Donna Sofia Lanza Branciforte dei principi di Trabia, from 1927 suo jure 13th Princess of Leonforte, with whom he had a son, Alessandro Romano Borghese, 14th Prince of Leonforte (1924-1994), whose own son Fabio Borghese (b. 1965) is the 15th and current Prince of Leonforte. At the end of the war, Giangiacomo Borghese retired to Palermo, Sicily, where he died in 1954."
1768,"Eating Out 2: Sloppy Seconds is a 2006 American sex comedy film directed by Phillip J. Bartell. It is a sequel to Eating Out. Jim Verraros, Rebekah Kochan, and Emily Brooke Hands reprise their roles from the first film, while Brett Chukerman replaces Ryan Carnes in the role of Marc. The film debuted at the Outfest film festival before a limited theatrical release."
1769,"The men's 10,000 metres event at the 1975 Summer Universiade was held at the Stadio Olimpico in Rome on 18 September."
1770,"Wells is a small city in Elko County, in northeast Nevada in the western United States. The population was 1,292 at the 2010 census. Wells is located at the junction of Interstate 80 and U.S. Route 93, approximately 50 miles (80 km) east of Elko and is part of the Elko micropolitan area.

"
1771,"Gnorimoschema alaricella is a moth in the family Gelechiidae. It was described by August Busck in 1908. It is found in North America, where it has been recorded from California, Kentucky, New Hampshire, Ohio and Pennsylvania.The wingspan is 18–19 mm. The forewings are bluish white, but this ground colour is nearly obscured by a darker scaling of black, dark fuscous and brown, which suffuses the wing without definite pattern, though with the effect of diffused longitudinal streaks. On the middle of the wing is a very indistinct brown ocellate spot, with a black center, and on the fold below it is another similar but less distinct spot. Both of these are easily lost in the general dark scaling. The hindwings are dark fuscous."
1772,"""Mama Look at Bubu"" (later retitled ""Mama Look a Boo Boo"") is a song written by Trinidadian calypsonian Lord Melody,  Harry Belafonte and Lord Burgess, and performed by Harry Belafonte featuring Bob Corwin's Orchestra & Chorus featuring Millard Thomas, Franz Casseus and Victor Messer on guitars. Although Belafonte gets co-writing credit on his 1957 release, the song first appeared on Lord Melody's single ""Mama Look a Boo Boo"" in 1955 (with slightly different lyrics), and his debut album ""Calypso Fiesta – Limbo In Trinidad"" in 1956 (retitled ""Boo Boo""), with solo writing credit to Lord Melody (real name Fitzroy Alexander).Belafonte's cover reached #10 on the U.S. R&B chart and #11 on the U.S. pop chart in 1957.  It was featured on his 1957 album The Versatile Mr. Belafonte."
1773,"Gothalo (Nepali: गोठालो) is a 1996 Nepali-language film directed by Ujwal Ghimire.The film stars Krishna Malla, Saroj Khanal, Sarmila Malla and Shree Krishna Shrestha.  The film was a hit in Nepal.

"
1774,"Reformism is a political doctrine advocating the reform of an existing system or institution instead of its abolition and replacement.Within the socialist movement, reformism is the view that gradual changes through existing institutions can eventually lead to fundamental changes in a society's political and economic systems. Reformism as a political tendency and hypothesis of social change grew out of opposition to revolutionary socialism, which contends that revolutionary upheaval is a necessary precondition for the structural changes necessary to transform a capitalist system to a qualitatively different socialist system. Responding to a pejorative conception of reformism as non-transformational, non-reformist reform was conceived as a way to prioritize human needs over capitalist needs.As a doctrine, centre-left reformism is distinguished from centre-right or pragmatic reform which instead aims to safeguard and permeate the status quo by preventing fundamental structural changes to it whereas leftist reformism posits that an accumulation of reforms can eventually lead to the emergence of entirely different economic and political systems than those of present-day capitalism and bureaucracy."
